begin,end,sub
1495730760,1495731060,5.0
1495731060,1495731360,5.0
1495731360,1495731660,5.0
1495731720,1495731960,4.0
1495731960,1495732260,5.0
1495732260,1495732560,5.0
1495732560,1495732860,5.0
1495732860,1495733160,5.0
1495733160,1495733460,5.0
1495733460,1495733760,5.0
1495733760,1495734060,5.0
1495734060,1495734360,5.0
1495734360,1495734660,5.0
1495734660,1495734960,5.0
1495734960,1495735260,5.0
1495735320,1495735860,9.0
1495735860,1495736160,5.0
1495736160,1495736520,6.0
1495736520,1495736760,4.0
1495736760,1495737060,5.0
1495737120,1495737360,4.0
1495737360,1495737660,5.0
1495737660,1495737960,5.0
1495737960,1495738260,5.0
1495738260,1495738560,5.0
1495738560,1495738860,5.0
1495738920,1495739160,4.0
1495739160,1495739460,5.0
1495739460,1495739760,5.0
1495739760,1495740060,5.0
1495740060,1495740360,5.0
1495740360,1495740660,5.0
1495740660,1495740960,5.0
1495740960,1495741260,5.0
1495741260,1495741560,5.0
1495741560,1495741860,5.0
1495741860,1495742160,5.0
1495742160,1495742760,10.0
1495742760,1495743060,5.0
1495743060,1495743360,5.0
1495743360,1495743660,5.0
1495743660,1495743960,5.0
1495743960,1495744260,5.0
1495744260,1495744560,5.0
1495744560,1495744860,5.0
1495744860,1495745460,10.0
1495745460,1495745760,5.0
1495745760,1495746060,5.0
1495746120,1495746360,4.0
1495746360,1495746660,5.0
1495746660,1495746960,5.0
1495746960,1495747260,5.0
1495747260,1495747560,5.0
1495747560,1495747860,5.0
1495747860,1495748160,5.0
1495748160,1495748460,5.0
1495748460,1495748760,5.0
1495748760,1495749060,5.0
1495749060,1495749360,5.0
1495749360,1495749660,5.0
1495749720,1495749960,4.0
1495749960,1495750260,5.0
1495750260,1495750560,5.0
1495750560,1495750920,6.0
1495750920,1495751160,4.0
1495751160,1495751460,5.0
1495751460,1495751760,5.0
1495751760,1495752060,5.0
1495752060,1495752360,5.0
1495752360,1495752660,5.0
1495752660,1495752960,5.0
1495752960,1495753260,5.0
1495753320,1495753560,4.0
1495753560,1495753860,5.0
1495753860,1495754160,5.0
1495754160,1495754460,5.0
1495754460,1495754760,5.0
1495754760,1495755060,5.0
1495755060,1495755360,5.0
1495755360,1495755660,5.0
1495755660,1495755960,5.0
1495755960,1495756260,5.0
1495756260,1495756560,5.0
1495756560,1495756860,5.0
1495756860,1495757160,5.0
1495757160,1495757460,5.0
1495757460,1495757760,5.0
1495757760,1495758060,5.0
1495758060,1495758360,5.0
1495758360,1495758660,5.0
1495758660,1495759260,10.0
1495759260,1495759560,5.0
1495759560,1495759860,5.0
1495759860,1495760160,5.0
1495760160,1495760460,5.0
1495760520,1495760760,4.0
1495760760,1495761060,5.0
1495761060,1495761360,5.0
1495761360,1495761720,6.0
1495761720,1495761960,4.0
1495761960,1495762260,5.0
1495762260,1495762560,5.0
1495762560,1495762860,5.0
1495762860,1495763160,5.0
1495763160,1495763460,5.0
1495763460,1495763760,5.0
1495763760,1495764060,5.0
1495764120,1495764360,4.0
1495764360,1495764660,5.0
1495764660,1495764960,5.0
1495764960,1495765260,5.0
1495765260,1495765560,5.0
1495765560,1495765800,4.0
1495765920,1495766160,4.0
1495766280,1495766400,2.0
1495766460,1495766700,4.0
1495766760,1495767000,4.0
1495767060,1495767360,5.0
1495767360,1495767660,5.0
1495767720,1495767960,4.0
1495767960,1495768260,5.0
1495768260,1495768560,5.0
1495768560,1495768860,5.0
1495768860,1495769160,5.0
1495769160,1495769400,4.0
1495771140,1495771260,2.0
1495771320,1495771440,2.0
1495771440,1495771560,2.0
1495771560,1495771860,5.0
1495771860,1495772160,5.0
1495772160,1495772460,5.0
1495772460,1495772760,5.0
1495772760,1495773060,5.0
1495773120,1495773360,4.0
1495773360,1495773660,5.0
1495773660,1495773960,5.0
1495773960,1495774260,5.0
1495774260,1495774560,5.0
1495774560,1495774920,6.0
1495774920,1495775160,4.0
1495775160,1495775460,5.0
1495775460,1495775760,5.0
1495775760,1495776060,5.0
1495776060,1495776360,5.0
1495776360,1495776600,4.0
1495776660,1495776960,5.0
1495776960,1495777260,5.0
1495777260,1495777560,5.0
1495777620,1495777860,4.0
1495777860,1495778160,5.0
1495778160,1495778460,5.0
1495778520,1495778760,4.0
1495778760,1495779060,5.0
1495779060,1495779360,5.0
1495779360,1495779660,5.0
1495779660,1495779960,5.0
1495780020,1495780260,4.0
1495780260,1495780380,2.0
1495780560,1495780860,5.0
1495780860,1495781160,5.0
1495781160,1495781460,5.0
1495781460,1495781760,5.0
1495781760,1495782060,5.0
1495782120,1495782360,4.0
1495782360,1495782660,5.0
1495782660,1495782960,5.0
1495782960,1495783260,5.0
1495783260,1495783560,5.0
1495783560,1495783860,5.0
1495783860,1495784160,5.0
1495784160,1495784460,5.0
1495784460,1495784760,5.0
1495784760,1495785060,5.0
1495785060,1495785360,5.0
1495785360,1495785660,5.0
1495785720,1495785960,4.0
1495785960,1495786260,5.0
1495786260,1495786560,5.0
1495786560,1495786860,5.0
1495786860,1495787040,3.0
1495787040,1495787160,2.0
1495787160,1495787280,2.0
1495787280,1495787400,2.0
1495787400,1495787520,2.0
1495787520,1495787640,2.0
1495787640,1495787760,2.0
1495787760,1495787880,2.0
1495787880,1495788000,2.0
1495788120,1495788240,2.0
1495788240,1495788360,2.0
1495788360,1495788480,2.0
1495788480,1495788600,2.0
1495788720,1495788840,2.0
1495789320,1495789440,2.0
1495789440,1495789560,2.0
1495789560,1495789680,2.0
1495789680,1495789800,2.0
1495789920,1495790040,2.0
1495790040,1495790160,2.0
1495790160,1495790280,2.0
1495790280,1495790400,2.0
1495790520,1495790760,4.0
1495790760,1495791000,4.0
1495791180,1495791300,2.0
1495791360,1495791480,2.0
1495792560,1495792680,2.0
1495793280,1495793400,2.0
1495795620,1495795740,2.0
1495795740,1495795860,2.0
1495795860,1495796160,5.0
1495796160,1495796460,5.0
1495796940,1495797060,2.0
1495797060,1495797360,5.0
1495797360,1495797660,5.0
1495800780,1495800960,3.0
1495802160,1495802280,2.0
1495802280,1495802400,2.0
1495802760,1495802880,2.0
1495803060,1495803180,2.0
1495803240,1495803360,2.0
1495803360,1495803540,3.0
1495804260,1495804380,2.0
1495804740,1495804860,2.0
1495805340,1495805460,2.0
1495807020,1495807260,4.0
1495807500,1495807620,2.0
1495807740,1495807860,2.0
1495807860,1495808160,5.0
1495808160,1495808460,5.0
1495808940,1495809060,2.0
1495809060,1495809180,2.0
1495809240,1495809360,2.0
1495809360,1495809600,4.0
1495811520,1495811760,4.0
1495811760,1495812060,5.0
1495812540,1495812660,2.0
1495812660,1495812960,5.0
1495812960,1495813260,5.0
1495813440,1495813560,2.0
1495813740,1495813860,2.0
1495813860,1495814160,5.0
1495814160,1495814460,5.0
1495814940,1495815060,2.0
1495815060,1495815360,5.0
1495815360,1495815660,5.0
1495816140,1495816260,2.0
1495816380,1495816560,3.0
1495816560,1495816860,5.0
1495817340,1495817460,2.0
1495818660,1495818960,5.0
1495818960,1495819320,6.0
1495819380,1495819500,2.0
1495819740,1495819860,2.0
1495819920,1495820160,4.0
1495820160,1495820460,5.0
1495820940,1495821060,2.0
1495821060,1495821360,5.0
1495821360,1495821660,5.0
1495822140,1495822260,2.0
1495822260,1495822560,5.0
1495822560,1495822860,5.0
1495823280,1495823460,3.0
1495823460,1495823760,5.0
1495823760,1495824060,5.0
1495824540,1495824660,2.0
1495824660,1495824960,5.0
1495824960,1495825260,5.0
1495825740,1495825860,2.0
1495825860,1495826160,5.0
1495826160,1495826460,5.0
1495826940,1495827060,2.0
1495827060,1495827360,5.0
1495827360,1495827660,5.0
1495828140,1495828260,2.0
1495828260,1495828560,5.0
1495828560,1495828860,5.0
1495828920,1495829040,2.0
1495829340,1495829460,2.0
1495829460,1495829760,5.0
1495829760,1495830060,5.0
1495830540,1495830660,2.0
1495830660,1495830960,5.0
1495831020,1495831260,4.0
1495831740,1495831860,2.0
1495831860,1495832160,5.0
1495832160,1495832460,5.0
1495832940,1495833060,2.0
1495833060,1495833360,5.0
1495833360,1495833660,5.0
1495834140,1495834260,2.0
1495834260,1495834560,5.0
1495834560,1495834860,5.0
1495835340,1495835460,2.0
1495835460,1495835760,5.0
1495835760,1495836060,5.0
1495836540,1495836660,2.0
1495836660,1495836960,5.0
1495836960,1495837260,5.0
1495837740,1495837860,2.0
1495837860,1495838160,5.0
1495838160,1495838460,5.0
1495838940,1495839060,2.0
1495839060,1495839360,5.0
1495839360,1495839660,5.0
1495840140,1495840260,2.0
1495840260,1495840560,5.0
1495840560,1495840860,5.0
1495841340,1495841460,2.0
1495841460,1495841760,5.0
1495841760,1495842060,5.0
1495842540,1495842660,2.0
1495842660,1495842960,5.0
1495842960,1495843260,5.0
1495843740,1495843860,2.0
1495843860,1495844160,5.0
1495844160,1495844460,5.0
1495844940,1495845060,2.0
1495845060,1495845360,5.0
1495845360,1495845660,5.0
1495846140,1495846260,2.0
1495846260,1495846560,5.0
1495846560,1495846860,5.0
1495847280,1495847460,3.0
1495847460,1495847580,2.0
1495847640,1495847760,2.0
1495847820,1495848060,4.0
1495848060,1495848180,2.0
1495848540,1495848660,2.0
1495848720,1495848960,4.0
1495848960,1495849260,5.0
1495849680,1495849860,3.0
1495849860,1495850160,5.0
1495850160,1495850460,5.0
1495850940,1495851060,2.0
1495851060,1495851360,5.0
1495851360,1495851660,5.0
1495851960,1495852080,2.0
1495852140,1495852320,3.0
1495852320,1495852440,2.0
1495852440,1495852560,2.0
1495852680,1495852860,3.0
1495853340,1495853460,2.0
1495853460,1495853760,5.0
1495853760,1495854060,5.0
1495855800,1495855920,2.0
1495857540,1495857660,2.0
1495861020,1495861260,4.0
1495861680,1495861860,3.0
1495861860,1495862160,5.0
1495862160,1495862460,5.0
1495862880,1495863120,4.0
1495863120,1495863360,4.0
1495863360,1495863660,5.0
1495864080,1495864260,3.0
1495864260,1495864560,5.0
1495864560,1495864860,5.0
1495865280,1495865460,3.0
1495866120,1495866240,2.0
1495867200,1495867320,2.0
1495869000,1495869120,2.0
1495869600,1495869780,3.0
1495871520,1495871640,2.0
1495872240,1495872360,2.0
1495872480,1495872600,2.0
1495877400,1495877520,2.0
1495879800,1495879920,2.0
1495881180,1495881300,2.0
1495881900,1495882020,2.0
1495882920,1495883040,2.0
1495886820,1495886940,2.0
1495893120,1495893240,2.0
1495894320,1495894440,2.0
1495896480,1495896600,2.0
1495897500,1495897620,2.0
1495904160,1495904280,2.0
1495907280,1495907400,2.0
1495917240,1495917360,2.0
1495918020,1495918140,2.0
1495922580,1495922700,2.0
1495923720,1495923840,2.0
1495925160,1495925280,2.0
1495926480,1495926600,2.0
1495927500,1495927620,2.0
1495927620,1495927740,2.0
1495927740,1495927860,2.0
1495935660,1495935780,2.0
1495937340,1495937460,2.0
1495941840,1495941960,2.0
1495946280,1495946400,2.0
1495950420,1495950540,2.0
1495952640,1495952760,2.0
1495953840,1495953960,2.0
1495954680,1495954800,2.0
1495958100,1495958220,2.0
1495959420,1495959540,2.0
1495962660,1495962780,2.0
1495967100,1495967220,2.0
1495969320,1495969440,2.0
1495970220,1495970340,2.0
1495973400,1495973520,2.0
1495977660,1495977780,2.0
1495980720,1495980900,3.0
1495981080,1495981200,2.0
1495981620,1495981740,2.0
1495981800,1495981920,2.0
1495983300,1495983420,2.0
1495983600,1495983720,2.0
1495984680,1495984800,2.0
1495988280,1495988400,2.0
1495990740,1495990860,2.0
1495992360,1495992480,2.0
1495995240,1495995360,2.0
1495997280,1495997400,2.0
1495998600,1495998720,2.0
1496002620,1496002740,2.0
1496005680,1496005800,2.0
1496005800,1496005920,2.0
1496012220,1496012340,2.0
1496013840,1496013960,2.0
1496013960,1496014080,2.0
1496014800,1496014920,2.0
1496016780,1496016900,2.0
1496020740,1496020860,2.0
1496021040,1496021160,2.0
1496022000,1496022120,2.0
1496023800,1496023920,2.0
1496026860,1496026980,2.0
1496032800,1496032920,2.0
1496037960,1496038080,2.0
1496038260,1496038380,2.0
1496044800,1496044920,2.0
1496053860,1496053980,2.0
1496062620,1496062740,2.0
1496062980,1496063100,2.0
1496067180,1496067300,2.0
1496070900,1496071020,2.0
1496072100,1496072220,2.0
1496073480,1496073600,2.0
1496078760,1496078880,2.0
1496080560,1496080680,2.0
1496081580,1496081700,2.0
1496086740,1496086860,2.0
1496086920,1496087040,2.0
1496088240,1496088360,2.0
1496090460,1496090580,2.0
1496100120,1496100240,2.0
1496101740,1496101860,2.0
1496104560,1496104680,2.0
1496105640,1496105760,2.0
1496106660,1496106780,2.0
1496108100,1496108220,2.0
1496109840,1496110020,3.0
1496110800,1496110920,2.0
1496112420,1496112540,2.0
1496120460,1496120580,2.0
1496126940,1496127060,2.0
1496127060,1496127180,2.0
1496138520,1496138640,2.0
1496139000,1496139120,2.0
1496140260,1496140380,2.0
1496143260,1496143380,2.0
1496145300,1496145420,2.0
1496148960,1496149080,2.0
1496152380,1496152500,2.0
1496156280,1496156400,2.0
1496157000,1496157120,2.0
1496157300,1496157420,2.0
1496159640,1496159760,2.0
1496159820,1496159940,2.0
1496161920,1496162040,2.0
1496163900,1496164020,2.0
1496166720,1496166840,2.0
1496169540,1496169660,2.0
1496174820,1496174940,2.0
1496178000,1496178120,2.0
1496179140,1496179260,2.0
1496180700,1496180820,2.0
1496182860,1496182980,2.0
1496183700,1496183820,2.0
1496185020,1496185140,2.0
1496186460,1496186580,2.0
1496186640,1496186760,2.0
1496187960,1496188080,2.0
1496190120,1496190240,2.0
1496192340,1496192460,2.0
1496193000,1496193120,2.0
1496193420,1496193540,2.0
1496193840,1496193960,2.0
1496196480,1496196600,2.0
1496201280,1496201400,2.0
1496205120,1496205360,4.0
1496205360,1496205660,5.0
1496206080,1496206260,3.0
1496206260,1496206560,5.0
1496206560,1496206860,5.0
1496207280,1496207460,3.0
1496207460,1496207760,5.0
1496207760,1496208060,5.0
1496208480,1496208660,3.0
1496208660,1496208960,5.0
1496208960,1496209260,5.0
1496209680,1496209860,3.0
1496209860,1496210160,5.0
1496210160,1496210460,5.0
1496210880,1496211060,3.0
1496211060,1496211360,5.0
1496211360,1496211660,5.0
1496212080,1496212260,3.0
1496212260,1496212380,2.0
1496212380,1496212500,2.0
1496212560,1496212860,5.0
1496212860,1496213160,5.0
1496213160,1496213460,5.0
1496213460,1496213760,5.0
1496213760,1496214060,5.0
1496214120,1496214360,4.0
1496214360,1496214660,5.0
1496214660,1496214960,5.0
1496214960,1496215260,5.0
1496215260,1496215560,5.0
1496215560,1496215860,5.0
1496215860,1496215980,2.0
1496215980,1496216160,3.0
1496216160,1496216460,5.0
1496216460,1496216760,5.0
1496216760,1496217060,5.0
1496219220,1496219340,2.0
1496219400,1496219520,2.0
1496219580,1496219700,2.0
1496219820,1496219940,2.0
1496220360,1496220480,2.0
1496226840,1496226960,2.0
1496226960,1496227080,2.0
1496227080,1496227200,2.0
1496227320,1496227440,2.0
1496227440,1496227560,2.0
1496227560,1496227680,2.0
1496227680,1496227800,2.0
1496228520,1496228760,4.0
1496228760,1496229060,5.0
1496229060,1496229360,5.0
1496229360,1496229660,5.0
1496229660,1496229960,5.0
1496229960,1496230260,5.0
1496230260,1496230560,5.0
1496230560,1496230860,5.0
1496230860,1496231160,5.0
1496231160,1496231460,5.0
1496233920,1496234100,3.0
1496234160,1496234460,5.0
1496234460,1496234760,5.0
1496234760,1496235060,5.0
1496235540,1496235660,2.0
1496235720,1496235960,4.0
1496235960,1496236260,5.0
1496236260,1496236560,5.0
1496236560,1496236860,5.0
1496236860,1496237460,10.0
1496237460,1496237760,5.0
1496237760,1496238060,5.0
1496238060,1496238360,5.0
1496238360,1496238660,5.0
1496239020,1496239140,2.0
1496239140,1496239320,3.0
1496239320,1496239560,4.0
1496239560,1496239860,5.0
1496239860,1496240160,5.0
1496240160,1496240460,5.0
1496240460,1496240760,5.0
1496240760,1496241060,5.0
1496241060,1496241360,5.0
1496241360,1496241660,5.0
1496241660,1496241960,5.0
1496241960,1496242260,5.0
1496242260,1496242380,2.0
1496242440,1496242560,2.0
1496242920,1496243160,4.0
1496243160,1496243460,5.0
1496243460,1496243760,5.0
1496243760,1496244060,5.0
1496244060,1496244360,5.0
1496244360,1496244660,5.0
1496244660,1496244960,5.0
1496244960,1496245260,5.0
1496245260,1496245560,5.0
1496245560,1496245860,5.0
1496245980,1496246160,3.0
1496246460,1496246760,5.0
1496246760,1496247060,5.0
1496247060,1496247360,5.0
1496247360,1496247660,5.0
1496247660,1496247960,5.0
1496247960,1496248200,4.0
1496248260,1496248500,4.0
1496248560,1496248680,2.0
1496248860,1496248980,2.0
1496248980,1496249100,2.0
1496249220,1496249460,4.0
1496250000,1496250120,2.0
1496250120,1496250360,4.0
1496250360,1496250660,5.0
1496250660,1496250960,5.0
1496250960,1496251260,5.0
1496251260,1496251560,5.0
1496251560,1496251860,5.0
1496251860,1496252160,5.0
1496252160,1496252460,5.0
1496252460,1496252760,5.0
1496252760,1496253060,5.0
1496253180,1496253300,2.0
1496253600,1496253720,2.0
1496253720,1496253960,4.0
1496253960,1496254320,6.0
1496254320,1496254560,4.0
1496254560,1496254860,5.0
1496254860,1496255160,5.0
1496255160,1496255460,5.0
1496255520,1496255760,4.0
1496255760,1496256060,5.0
1496256060,1496256360,5.0
1496256360,1496256660,5.0
1496256960,1496257080,2.0
1496257140,1496257260,2.0
1496257320,1496257560,4.0
1496257560,1496257860,5.0
1496257860,1496258160,5.0
1496258160,1496258460,5.0
1496258460,1496258760,5.0
1496258760,1496259060,5.0
1496259060,1496259360,5.0
1496259360,1496259660,5.0
1496259660,1496259960,5.0
1496259960,1496260260,5.0
1496260320,1496260440,2.0
1496260800,1496260920,2.0
1496260920,1496261160,4.0
1496261160,1496261460,5.0
1496261460,1496261760,5.0
1496261760,1496262060,5.0
1496262060,1496262360,5.0
1496262360,1496262660,5.0
1496262660,1496262960,5.0
1496262960,1496263260,5.0
1496263260,1496263560,5.0
1496263560,1496263860,5.0
1496263980,1496264100,2.0
1496264220,1496264340,2.0
1496264520,1496264760,4.0
1496264820,1496265060,4.0
1496265060,1496265360,5.0
1496265360,1496265660,5.0
1496265660,1496265960,5.0
1496265960,1496266260,5.0
1496266260,1496266560,5.0
1496266560,1496266860,5.0
1496266860,1496267160,5.0
1496267160,1496267460,5.0
1496268000,1496268120,2.0
1496268120,1496268360,4.0
1496268360,1496268660,5.0
1496268660,1496268960,5.0
1496268960,1496269260,5.0
1496269260,1496269560,5.0
1496269560,1496269860,5.0
1496269860,1496270160,5.0
1496270160,1496270460,5.0
1496270460,1496270760,5.0
1496270760,1496271000,4.0
1496271720,1496271960,4.0
1496271960,1496272260,5.0
1496272260,1496272560,5.0
1496272560,1496272860,5.0
1496272860,1496273160,5.0
1496273160,1496273460,5.0
1496273460,1496273760,5.0
1496273760,1496274060,5.0
1496274060,1496274360,5.0
1496274360,1496274660,5.0
1496275320,1496275560,4.0
1496275560,1496275860,5.0
1496275860,1496276160,5.0
1496276160,1496276460,5.0
1496276460,1496276760,5.0
1496276760,1496277060,5.0
1496277060,1496277360,5.0
1496277360,1496277660,5.0
1496277660,1496277960,5.0
1496277960,1496278260,5.0
1496278260,1496278380,2.0
1496278920,1496279160,4.0
1496279160,1496279460,5.0
1496279460,1496279760,5.0
1496279760,1496280060,5.0
1496280060,1496280360,5.0
1496280360,1496280660,5.0
1496280720,1496280960,4.0
1496280960,1496281260,5.0
1496281260,1496281560,5.0
1496281560,1496281860,5.0
1496282280,1496282400,2.0
1496282520,1496282760,4.0
1496282760,1496283060,5.0
1496283060,1496283360,5.0
1496283360,1496283660,5.0
1496283660,1496283960,5.0
1496283960,1496284260,5.0
1496284320,1496284440,2.0
1496284560,1496284860,5.0
1496284920,1496285160,4.0
1496285220,1496285400,3.0
1496285880,1496286120,4.0
1496286120,1496286360,4.0
1496286360,1496286660,5.0
1496286660,1496286960,5.0
1496286960,1496287080,2.0
1496287080,1496287260,3.0
1496287260,1496287560,5.0
1496287560,1496287860,5.0
1496287860,1496288100,4.0
1496289660,1496289780,2.0
1496290320,1496290440,2.0
1496291820,1496291940,2.0
1496292180,1496292300,2.0
1496294760,1496294880,2.0
1496297340,1496297460,2.0
1496297580,1496297700,2.0
1496301180,1496301300,2.0
1496301300,1496301420,2.0
1496302440,1496302560,2.0
1496303100,1496303220,2.0
1496310720,1496310840,2.0
1496313840,1496313960,2.0
1496315880,1496316000,2.0
1496317380,1496317500,2.0
1496317560,1496317680,2.0
1496320560,1496320680,2.0
1496322900,1496323020,2.0
1496323620,1496323740,2.0
1496324820,1496324940,2.0
1496330340,1496330460,2.0
1496331060,1496331180,2.0
1496335800,1496335920,2.0
1496337600,1496337720,2.0
1496339940,1496340060,2.0
1496342700,1496342820,2.0
1496345100,1496345220,2.0
1496346300,1496346420,2.0
1496346840,1496347020,3.0
1496351820,1496351940,2.0
1496353500,1496353620,2.0
1496353620,1496353740,2.0
1496353800,1496353920,2.0
1496359800,1496359920,2.0
1496363460,1496363580,2.0
1496363760,1496363880,2.0
1496364840,1496365020,3.0
1496365500,1496365620,2.0
1496371140,1496371260,2.0
1496373600,1496373720,2.0
1496376180,1496376300,2.0
1496382540,1496382660,2.0
1496384880,1496385000,2.0
1496386020,1496386140,2.0
1496388180,1496388300,2.0
1496388840,1496388960,2.0
1496392320,1496392440,2.0
1496393460,1496393580,2.0
1496398860,1496399040,3.0
1496406840,1496406960,2.0
1496409900,1496410020,2.0
1496411400,1496411520,2.0
1496412120,1496412240,2.0
1496415900,1496416020,2.0
1496419020,1496419140,2.0
1496420460,1496420580,2.0
1496422740,1496422860,2.0
1496425500,1496425680,3.0
1496427240,1496427360,2.0
1496428320,1496428440,2.0
1496430180,1496430300,2.0
1496432520,1496432640,2.0
1496437860,1496437980,2.0
1496438400,1496438520,2.0
1496439540,1496439660,2.0
1496439780,1496439900,2.0
1496444160,1496444280,2.0
1496448240,1496448360,2.0
1496449260,1496449380,2.0
1496450460,1496450580,2.0
1496450640,1496450760,2.0
1496458800,1496458920,2.0
1496460480,1496460600,2.0
1496460660,1496460780,2.0
1496461200,1496461320,2.0
1496464920,1496465040,2.0
1496465940,1496466060,2.0
1496467380,1496467500,2.0
1496469120,1496469240,2.0
1496469780,1496469900,2.0
1496470620,1496470740,2.0
1496472360,1496472480,2.0
1496474820,1496474940,2.0
1496481120,1496481240,2.0
1496482200,1496482320,2.0
1496482860,1496482980,2.0
1496488080,1496488200,2.0
1496492700,1496492820,2.0
1496500260,1496500380,2.0
1496501400,1496501520,2.0
1496505540,1496505660,2.0
1496511780,1496511900,2.0
1496513040,1496513160,2.0
1496513160,1496513280,2.0
1496518260,1496518380,2.0
1496523120,1496523300,3.0
1496524200,1496524320,2.0
1496526600,1496526720,2.0
1496526720,1496526840,2.0
1496540400,1496540520,2.0
1496541900,1496542020,2.0
1496542080,1496542200,2.0
1496543100,1496543220,2.0
1496546220,1496546340,2.0
1496549940,1496550060,2.0
1496552640,1496552760,2.0
1496552940,1496553060,2.0
1496553960,1496554080,2.0
1496555340,1496555460,2.0
1496555580,1496555700,2.0
1496559120,1496559240,2.0
1496565300,1496565420,2.0
1496566560,1496566680,2.0
1496567280,1496567400,2.0
1496569860,1496569980,2.0
1496571480,1496571600,2.0
1496575380,1496575500,2.0
1496575920,1496576040,2.0
1496576100,1496576220,2.0
1496577060,1496577180,2.0
1496581140,1496581260,2.0
1496582040,1496582160,2.0
1496582340,1496582460,2.0
1496582880,1496583000,2.0
1496583600,1496583720,2.0
1496585760,1496585880,2.0
1496586600,1496586720,2.0
1496587440,1496587560,2.0
